file_name,risk,report
road_0000,1,"Scene Description: Nighttime intersection. A silver sedan is in the middle lane, and another vehicle is in the inner (leftmost) lane.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Improper Turn from Wrong Lane: The silver sedan in the middle lane attempts to make a left turn, cutting across the path of the vehicle in the inner lane.

Right-of-Way Violation: The turning vehicle ignores the through-traffic or turning traffic in the designated left-turn lane.

Prediction: High probability of a collision as the silver sedan cuts off the inner-lane vehicle, leading to a side-impact crash."
road_0001,1,"Scene Description: Daytime urban street with roadside parking. The ego-vehicle follows a silver SUV (Lexus).

Risk Level: High

Key Hazards:

Unsafe Lane Re-entry (Pulling Out): A silver sedan parked on the right roadside attempts to merge into the traffic lane or open its door without checking for oncoming traffic.

Right-of-Way Conflict: The parked vehicle fails to yield to the silver SUV (Lexus) that is already established in the lane.

Prediction: High probability of a Side-swipe Collision between the front-right side of the moving SUV and the merging silver sedan."
road_0002,1,"Scene Description: Urban congested traffic, rainy weather. A blue truck is in the left lane, and a taxi is in the right lane.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Aggressive Lane Change: The blue truck on the left initiates a lane change to the right before the adjacent vehicle (taxi) has safely passed.

Blind Spot / Misjudgment: The truck driver fails to account for the taxi's position or speed, assuming the gap is sufficient.

Prediction: The blue truck will collide with the taxi due to an unsafe cut-in maneuver, resulting in a side-swipe accident."
road_0003,1,"Scene Description: Nighttime urban road. A scooter is proceeding straight.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Unprotected Left Turn (Opposing Traffic): A car from the opposing lane turns left (cuts out) abruptly without yielding to the oncoming scooter.

Perception Failure: The turning driver likely fails to see the scooter (VRU) due to low light or occlusion.

Prediction: The opposing car cuts directly into the scooter's path, causing an unavoidable frontal collision."
road_0004,1,"Scene Description: Nighttime road. A large heavy vehicle (truck/bus) is on the left, with other traffic on the right.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Reckless Lane Change: The large vehicle on the left merges right abruptly without decelerating.

Size Disparity: The heavy vehicle bullies its way into the adjacent lane, disregarding the smaller vehicle (car) occupying that space.

Prediction: The large vehicle will side-swipe or crush the car on its front-right due to failure to check blind spots and aggressive driving."
road_0005,0,"Scene Description: Daytime intersection. A scooter attempts a left turn while a car approaches from the right.

Risk Level: High (Near Miss)

Key Hazards:

Negligent Turn: The scooter rider turns left without checking for cross-traffic coming from the right.

Mitigating Factor (Low Speed): Both the scooter and the approaching car are traveling at low speeds.

Prediction: A hazardous situation arises due to the scooter's failure to yield, but a collision is avoided primarily due to the low speed of both parties allowing for reaction time."
road_0006,1,"Scene Description: Daytime urban intersection with wide lanes. The ego-vehicle is proceeding straight, and a large truck on the right is turning right.

Risk Level: Critical

Key Hazards:

Traffic Signal Violation (Red Light Running): A silver sedan enters the intersection from the left side, disregarding the traffic signal and crossing the path of the ego-vehicle and the turning truck.

Distraction/Occlusion: The large truck on the right initially draws the driver's attention, potentially distracting from the threat emerging from the left.

Prediction: High risk of a T-bone collision (Side-impact collision). The ego-vehicle must execute emergency braking immediately to avoid hitting the vehicle running the red light"
road_0007,0,"Scene Description: Daytime, rural road, rainy conditions. Following a small blue truck.

Risk Level: Medium

Key Hazards:

Slippery Surface: Rain creates a risk of hydroplaning or increased stopping distance.

Road Geometry: Slight curve in the road.

Prediction: Main risk is rear-ending the truck if it slows down for the curve on the wet asphalt."
road_0008,1,"Scene Description: Nighttime wide road. A scooter is positioned to the left of a car (or in the same lane).

Risk Level: Critical (Collision Occurred)

Key Hazards:

Improper Right Turn: The scooter attempts to turn right directly from a position where a car is present in the right-rear blind spot.

Situational Awareness: The rider fails to check the rear-view mirror or shoulder check before turning.

Prediction: The scooter will turn directly into the path of the car coming from the right-rear, causing a side-swipe collision."
road_0009,0,"Scene Description: Daytime intersection under an overpass. A car is in the fast (inner) lane.

Risk Level: Medium (Near Miss / Traffic Violation)

Key Hazards:

Illegal Turn: A car executes a right turn from the inner (fast) lane, cutting across multiple lanes of traffic.

Defensive Driving: The nearby scooter/traffic is moving slowly enough to react.

Prediction: High risk of accident due to the car's illegal maneuver, but actual collision is avoided in this instance due to the low speed of the surrounding scooter/traffic."
road_0010,0,"Scene Description: Daytime intersection. A red car is attempting to turn left while scooters are proceeding straight from the opposing direction.

Risk Level: High (Near Miss)

Key Hazards:

Unprotected Left Turn: The car turns left across the path of oncoming two-wheelers.

Gap Acceptance: The driver misjudges the gap or timing relative to the approaching scooters.

Prediction: A potential collision is narrowly avoided. The left-turning car almost sideswipes the oncoming scooter, but the low speed of both parties allows for a safe stop/evasion."
road_0011,0,"Scene Description: Daytime urban street with heavy congestion. Traffic is moving slowly or is stationary.

Risk Level: Low

Key Hazards:

Stop-and-Go Traffic: Frequent braking required.

Lane Splitting: Scooters filtering between stopped cars.

Prediction: Safe scenario. No immediate collision risk observed due to the stable, slow-moving traffic flow."
road_0012,0,"Scene Description: Rainy day at a busy intersection. Wet road surface.

Risk Level: Low

Key Hazards:

Slippery Surface: Reduced traction due to rain.

Complex Traffic: High volume of mixed traffic (cars and scooters).

Prediction: Despite the adverse weather and traffic volume, vehicles are proceeding at cautious speeds, resulting in no accident."
road_0013,1,"Scene Description: Daytime city street. A white car is positioned ahead of a scooter.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Right Turn Conflict (Right Hook): The white car turns right directly across the path of the scooter traveling in the outer lane/shoulder.

Failure to Check Blind Spot: The driver fails to notice the scooter approaching from the right rear.

Prediction: The car cuts off the scooter during the turn, leading to a collision as the scooter crashes into the car's side."
road_0014,1,"Scene Description: Nighttime intersection with traffic signals.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Signal Violation: A dark sedan runs a red light at high speed.

Intersection Crossing: A scooter is legally entering the intersection on a green light.

Prediction: Severe T-bone collision. The car running the red light strikes the scooter which has the right of way."
road_0015,1,"Scene Description: Nighttime bustling city street. Ego-vehicle (scooter) is in traffic.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Unsafe Lane Change: A car attempts to change lanes to the left.

Speed/Distance Miscalculation: The driver fails to gauge the speed of the scooter ahead or leaves insufficient following distance during the maneuver.

Prediction: The car grazes or hits the scooter in front due to poor spatial awareness during the lane change."
road_0016,1,"Scene Description: Evening/Dusk. A main road with an underpass structure on the left.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Merging from Side Road/Alley: A car emerges from a narrow alley on the right to join the main road.

Occlusion/Visibility: The driver's view of the main road (specifically the scooter lane) is likely obstructed or they fail to look.

Prediction: The car pulls out directly into the path of a scooter traveling on the main road, causing a side-impact collision."
road_0017,1,"Scene Description: Foggy mountain road with narrow, winding lanes.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Lane Departure (Wrong-Way Driving): A black sedan crosses the double yellow line into the opposing lane.

Blind Curve/Fog: Limited visibility makes it difficult for oncoming traffic to react.

Prediction: The black sedan collides head-on or sideswipes the silver car traveling in the correct lane due to reckless overtaking or loss of control on the curve."
road_0018,1,"Scene Description: Wide, sunny intersection.

Risk Level: Critical (Collision Occurred)

Key Hazards:

VRU Signal Violation: A scooter rider runs a red light.

Left Turn Conflict: A car is executing a legal left turn on a green light/arrow.

Prediction: The scooter, ignoring the traffic signal, crashes into the car making a left turn."
road_0019,1,"Scene Description: Congested urban road. Stop-and-go traffic.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Rear-End Risk: A silver sedan on the right approaches a small truck stopped/slowing ahead.

Late Braking/Brake Failure: The sedan fails to stop in time despite brake lights being visible (or sudden deceleration).

Prediction: The silver sedan rear-ends the small truck due to insufficient safety distance or failure to brake effectively."
road_0020,1,"Scene Description: Intersection. A silver sedan is executing a left turn while a black sedan approaches from the opposing direction.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Left Turn Across Path (LTAP/OD): The silver car turns left across the path of the oncoming black car.

Failure to Yield/Decelerate: The oncoming black car maintains speed and does not yield to the turning vehicle (or vice-versa depending on signal phase), leading to a conflict.

Prediction: A frontal-side collision occurs as the black car crashes into the turning silver sedan due to a lack of mutual yielding."
road_0021,1,"Scene Description: Daytime urban road. A car is preparing to turn right.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Right Hook: The car turns right without checking the blind spot for the scooter traveling alongside or behind it.

VRU Conflict: The scooter rider continues straight, unaware of the car's turning intention.

Prediction: The car turns directly into the scooter's path, causing a side-swipe collision."
road_0022,0,"Scene Description: Rainy day on a city street. A scooter is following a truck.

Risk Level: Medium (Safe)

Key Hazards:

Tailgating: The scooter is following the truck too closely (insufficient braking distance).

Adverse Weather: Rain reduces tire traction (Slippery road).

Prediction: High potential risk due to short following distance, but no accident occurs because the overall traffic speed is low."
road_0023,1,"Scene Description: Daytime urban road. A white vehicle interacts with straight-moving traffic.

Risk Level: Critical (Collision Occurred)

Key Hazards:

Improper Lane Crossing: A white car moves across lanes or turns without yielding to the vehicle proceeding straight.

Right-of-Way Violation: The straight-moving vehicle has the right of way, which the crossing vehicle violates.

Prediction: A collision results from the white car's failure to verify that the path was clear before crossing the lane."
road_0024,0,"Scene Description: Busy intersection. Two scooters are stopped in the middle of the junction, waiting for cars to pass.

Risk Level: High (Near Miss)

Key Hazards:

Intersection Loitering: Vulnerable road users (scooters) are stationary in a high-risk zone (center of the intersection).

Traffic Flow Conflict: Cars are passing in close proximity to the waiting scooters.

Prediction: A highly dangerous situation (""Close Call""), but no accident occurs as the drivers successfully navigate around the stationary scooters."
